item,sentence,condition,target,context_had
19,The rebel had been violating the rules.,high-cloze,violating,The rebel had been
19,Thirty pounds of potatoes had been violating only twice.,low-cloze,violating,Thirty pounds of potatoes had been
20,A new medication had been prescribing the physician.,reversed,prescribing,A new medication had been
20,A new medication had been prescribed by the physician.,canonical,prescribed,A new medication had been
20,The new doctor had been prescribing powerful painkillers for Jelena's sore knee.,high-cloze,prescribing,The new doctor had been
20,The portrait of Napoleon had been prescribing with caution.,low-cloze,prescribing,The portrait of Napoleon had been
21,The wheat crops had been harvesting by the local farmers.,reversed,harvesting,The wheat crops had been
21,The wheat crops had been harvested after the rain.,canonical,harvested,The wheat crops had been
21,The local farmers had been harvesting the corn all week.,high-cloze,harvesting,The local farmers had been
21,The elevator button had been harvesting after the rain.,low-cloze,harvesting,The elevator button had been
22,The musical piece was composing by Beethoven in 1799.,reversed,composing,The musical piece was
22,The musical piece was composed in a dream.,canonical,composed,The musical piece was
22,Ludwig von Beethoven was composing symphonies as a teenager.,high-cloze,composing,Ludwig von Beethoven was
22,The bank had been composing in a dream.,low-cloze,composing,The bank had been
23,The old lady's purse had been snatching a kid.,reversed,snatching,The old lady's purse had been
23,The old lady's purse had been snatched with speed.,canonical,snatched,The old lady's purse had been
23,The clever dog had been snatching cookies from the table.,high-cloze,snatching,The clever dog had been
23,The quality of Karla's work was snatching victory from the jaws of defeat.,low-cloze,snatching,The quality of Karla's work was
24,Olson's bulging suitcase had been packing his assistant.,reversed,packing,Olson's bulging suitcase had been
24,Olson's bulging suitcase had been packed for the trip.,canonical,packed,Olson's bulging suitcase had been
24,The excited vacationers had been packing their suitcases when the hurricane hit.,high-cloze,packing,The excited vacationers had been
24,Stormy weather had been packing for the trip.,low-cloze,packing,Stormy weather had been
25,Several spelling errors were noticing the careful editor.,reversed,noticing,Several spelling errors were
25,Several spelling errors were noticed by the careful editor.,canonical,noticed,Several spelling errors were
25,Brittany's close friends were noticing changes in her personality.,high-cloze,noticing,Brittany's close friends were
25,The final destination had been noticing too late.,low-cloze,noticing,The final destination had been
26,An illegal weapon had been smuggling only once.,reversed,smuggling,An illegal weapon had been
26,An illegal weapon had been smuggled only once.,canonical,smuggled,An illegal weapon had been
26,The drug dealer had been smuggling heroin into Canada.,high-cloze,smuggling,The drug dealer had been
26,Cleopatra's beauty was smuggling only once.,low-cloze,smuggling,Cleopatra's beauty was
27,The leftover food was discarding wastefully.,reversed,discarding,The leftover food was
27,The leftover food was discarded wastefully.,canonical,discarded,The leftover food was
27,The campers were discarding the leftover food.,high-cloze,discarding,The campers were
27,The sleek new building was discarding wastefully.,low-cloze,discarding,The sleek new building was
28,Thirty pounds of potatoes had been peeling by the cooks.,reversed,peeling,Thirty pounds of potatoes had been
28,Thirty pounds of potatoes had been peeled carefully.,canonical,peeled,Thirty pounds of potatoes had been
28,The bored looking cooks had been peeling potatoes for hours.,high-cloze,peeling,The bored looking cooks had been
28,The club's rules had been peeling the sticker off the box.,low-cloze,peeling,The club's rules had been
29,The grimy pots and pans had been scrubbing the dishwashers.,reversed,scrubbing,The grimy pots and pans had been
29,The grimy pots and pans had been scrubbed by the dishwashers.,canonical,scrubbed,The grimy pots and pans had been
29,The guys in the kitchen had been scrubbing the pots and pans.,high-cloze,scrubbing,The guys in the kitchen had been
29,The stolen artwork had been scrubbing with vigor.,low-cloze,scrubbing,The stolen artwork had been
30,The roast lamb had been carving by a servant.,reversed,carving,The roast lamb had been
30,The roast lamb had been carved by a servant.,canonical,carved,The roast lamb had been
30,The butcher had been carving the meat.,high-cloze,carving,The butcher had been
30,Janet's houseplants were carving before dinner.,low-cloze,carving,Janet's houseplants were
31,Cleopatra's beauty was admiring many people.,reversed,admiring,Cleopatra's beauty was
31,Cleopatra's beauty was admired always.,canonical,admired,Cleopatra's beauty was
31,The men were admiring the beautiful woman from a distance.,high-cloze,admiring,The men were
31,An illegal weapon had been admiring always.,low-cloze,admiring,An illegal weapon had been
32,A wet snowball had been tossing by the girls through the window.,reversed,tossing,A wet snowball had been
32,A wet snowball had been tossed in anger.,canonical,tossed,A wet snowball had been
32,The baseball players had been tossing the ball around the infield.,high-cloze,tossing,The baseball players had been
32,Their secret conversation had been tossing a steak on the grill.,low-cloze,tossing,Their secret conversation had been
33,The sealed envelope was opening the judge.,reversed,opening,The sealed envelope was
33,The sealed envelope was opened without permission.,canonical,opened,The sealed envelope was
33,Tuxedoed waiters were opening bottles of champagne for the toast.,high-cloze,opening,Tuxedoed waiters were
33,The men's faces had been opening without permission.,low-cloze,opening,The men's faces had been
34,The man's beard had been shaving twice a day.,reversed,shaving,The man's beard had been
34,The man's beard had been shaved twice a day.,canonical,shaved,The man's beard had been
34,His uncle Ralph had been shaving his beard off.,high-cloze,shaving,His uncle Ralph had been
34,The popular amusement park is shaving twice a day.,low-cloze,shaving,The popular amusement park is
35,The elevator button had been pressing slowly.,reversed,pressing,The elevator button had been
35,The elevator button had been pressed by the attendant.,canonical,pressed,The elevator button had been
35,The attendant had been pressing the buttons.,high-cloze,pressing,The attendant had been
35,The wheat crops had been pressing slowly.,low-cloze,pressing,The wheat crops had been
36,The winning lottery numbers had been announcing the TV news.,reversed,announcing,The winning lottery numbers had been
36,The winning lottery numbers had been announced by the TV news.,canonical,announced,The winning lottery numbers had been
36,The flight attendant had been announcing the reason for the delay.,high-cloze,announcing,The flight attendant had been
36,The tarnished silverware was announcing on the television.,low-cloze,announcing,The tarnished silverware was
37,The victim's body had been identifying at the morgue.,reversed,identifying,The victim's body had been
37,The victim's body had been identified by the family members.,canonical,identified,The victim's body had been
37,The laboratory technicians had been identifying the chemical.,high-cloze,identifying,The laboratory technicians had been
37,The movie was identifying rare fish for the divers.,low-cloze,identifying,The movie was
38,The hearty meal was devouring by the kids.,reversed,devouring,The hearty meal was
38,The hearty meal was devoured with gusto.,canonical,devoured,The hearty meal was
38,The hungry boys were devouring the plate of cookies when Jack arrived.,high-cloze,devouring,The hungry boys were
38,The dusty tabletops were devouring with gusto.,low-cloze,devouring,The dusty tabletops were
39,The overgrown shrubs were trimming regularly.,reversed,trimming,The overgrown shrubs were
39,The overgrown shrubs were trimmed by a gardener.,canonical,trimmed,The overgrown shrubs were
39,A gardener was trimming the overgrown shrubbery.,high-cloze,trimming,A gardener was
39,The alarm clock had been trimming regularly.,low-cloze,trimming,The alarm clock had been
40,Wilson's unreasonable proposal was rejecting by the boss.,reversed,rejecting,Wilson's unreasonable proposal was
40,Wilson's unreasonable proposal was rejected at the hospital.,canonical,rejected,Wilson's unreasonable proposal was
40,The admissions committee was rejecting nearly every application.,high-cloze,rejecting,The admissions committee was
40,The rare bird's behavior was rejecting all offers.,low-cloze,rejecting,The rare bird's behavior was
41,Hathaway's gigantic fortune had been inheriting by his daughters.,reversed,inheriting,Hathaway's gigantic fortune had been
41,Hathaway's gigantic fortune had been inherited by his daughters.,canonical,inherited,Hathaway's gigantic fortune had been
41,Generations of aristocratic Englishmen have been inheriting their fortunes.,high-cloze,inheriting,Generations of aristocratic Englishmen have been
41,The strange mystery had been inheriting the estate from her grandmother.,low-cloze,inheriting,The strange mystery had been
42,All of her money had been spending before the wedding.,reversed,spending,All of her money had been
42,All of her money had been spent before the wedding.,canonical,spent,All of her money had been
42,The shopping fanatic had been spending all her money in Bloomingdales.,high-cloze,spending,The shopping fanatic had been
42,Patty's overgrown lawn was spending its time on the beach.,low-cloze,spending,Patty's overgrown lawn was
43,An appointment was scheduling by the secretary.,reversed,scheduling,An appointment was
43,An appointment was scheduled by the secretary.,canonical,scheduled,An appointment was
43,The secretary was scheduling new appointments for the afternoon.,high-cloze,scheduling,The secretary was
43,The legal contract had been scheduling for next week.,low-cloze,scheduling,The legal contract had been
44,The men's faces had been photographing by a security camera.,reversed,photographing,The men's faces had been
44,The men's faces had been photographed by a security camera.,canonical,photographed,The men's faces had been
44,The intrusive reporter had been photographing the celebrities at the party.,high-cloze,photographing,The intrusive reporter had been
44,The sealed envelope was photographing at the party.,low-cloze,photographing,The sealed envelope was
45,The broken television had been repairing the technician.,reversed,repairing,The broken television had been
45,The broken television had been repaired by the technician.,canonical,repaired,The broken television had been
45,The competent technician had been repairing the television.,high-cloze,repairing,The competent technician had been
45,Larry's note had been repairing the computer's hard drive.,low-cloze,repairing,Larry's note had been
46,The alarm clock had been unplugging accidentally.,reversed,unplugging,The alarm clock had been
46,The alarm clock had been unplugged late.,canonical,unplugged,The alarm clock had been
46,The frantic woman had been unplugging every electrical device in the house.,high-cloze,unplugging,The frantic woman had been
46,The overgrown shrubs were unplugging accidentally.,low-cloze,unplugging,The overgrown shrubs were
47,The car door had been unlocking late at night.,reversed,unlocking,The car door had been
47,The car door had been unlocked by the child.,canonical,unlocked,The car door had been
47,The babysitter had been unlocking the back door.,high-cloze,unlocking,The babysitter had been
47,The Queen's 80th birthday was unlocking late at night.,low-cloze,unlocking,The Queen's 80th birthday was
48,The portrait of Napoleon had been painting by a Dutch artist.,reversed,painting,The portrait of Napoleon had been
48,The portrait of Napoleon had been painted by a Dutch artist.,canonical,painted,The portrait of Napoleon had been
48,The French Impressionist artists had been painting with a focus on light and color.,high-cloze,painting,The French Impressionist artists had been
48,A new medication had been painting on Tuesday.,low-cloze,painting,A new medication had been
49,The embarrassing allegations had been denying by the mayor.,reversed,denying,The embarrassing allegations had been
49,The embarrassing allegations had been denied by the mayor.,canonical,denied,The embarrassing allegations had been
49,The embarassed mayor had been denying allegations of corruption.,high-cloze,denying,The embarassed mayor had been
49,Tamara's birthday gift had been denying the rumor.,low-cloze,denying,Tamara's birthday gift had been
50,The noises in the attic had been hearing nightly.,reversed,hearing,The noises in the attic had been
50,The noises in the attic had been heard by the boys.,canonical,heard,The noises in the attic had been
50,The frightened campers had been hearing noises in the woods.,high-cloze,hearing,The frightened campers had been
50,A package had been hearing nightly.,low-cloze,hearing,A package had been
51,The appetizers had been serving before the meal.,reversed,serving,The appetizers had been
51,The appetizers had been served before the meal.,canonical,served,The appetizers had been
51,The waiters had been serving the meal.,high-cloze,serving,The waiters had been
51,The final exams had been serving before the meal.,low-cloze,serving,The final exams had been
52,Billy's unruly hair was combing his mother to one side.,reversed,combing,Billy's unruly hair was
52,Billy's unruly hair was combed by his mother to one side.,canonical,combed,Billy's unruly hair was
52,The patient barber was combing the boy's hair to one side.,high-cloze,combing,The patient barber was
52,The girl's disease was combing the area for escaped prisoners.,low-cloze,combing,The girl's disease was
53,A drawing of the house had been sketching again.,reversed,sketching,A drawing of the house had been
53,A drawing of the house had been sketched again.,canonical,sketched,A drawing of the house had been
53,An artist in the studio had been sketching the house.,high-cloze,sketching,An artist in the studio had been
53,The cheap products had been sketching again.,low-cloze,sketching,The cheap products had been
54,The simple coffin was burying the villagers.,reversed,burying,The simple coffin was
54,The simple coffin was buried at the church.,canonical,buried,The simple coffin was
54,The tribal people were burying their dead.,high-cloze,burying,The tribal people were
54,The vocabulary list was burying at the church.,low-cloze,burying,The vocabulary list was
55,The homicide case had been investigating diligently.,reversed,investigating,The homicide case had been
55,The homicide case had been investigated by the FBI.,canonical,investigated,The homicide case had been
55,The FBI agents had been investigating the homicide case for weeks.,high-cloze,investigating,The FBI agents had been
55,Martin's tonsils had been investigating the problem.,low-cloze,investigating,Martin's tonsils had been
56,Mark's wrinkly shirts were ironing by his mother.,reversed,ironing,Mark's wrinkly shirts were
56,Mark's wrinkly shirts were ironed by his mother.,canonical,ironed,Mark's wrinkly shirts were
56,Mark's doting mother was ironing his shirts while he slept.,high-cloze,ironing,Mark's doting mother was
56,The firewood had been ironing her dress.,low-cloze,ironing,The firewood had been
57,An important lesson had been learning in space.,reversed,learning,An important lesson had been
57,An important lesson had been learned in space.,canonical,learned,An important lesson had been
57,The children had been learning Spanish.,high-cloze,learning,The children had been
57,The bathroom floor had been learning in space.,low-cloze,learning,The bathroom floor had been
58,The height of the bookcase was measuring by a carpenter.,reversed,measuring,The height of the bookcase was
58,The height of the bookcase was measured incorrectly.,canonical,measured,The height of the bookcase was
58,The carpenter was measuring the height of the bookcase.,high-cloze,measuring,The carpenter was
58,An urgent message had been measuring her heart rate.,low-cloze,measuring,An urgent message had been
59,Several important topics were discussing despite the weather.,reversed,discussing,Several important topics were
59,Several important topics were discussed by the board of trustees.,canonical,discussed,Several important topics were
59,The board members were discussing several important topics.,high-cloze,discussing,The board members were
59,"The fresh, warm bread was discussing despite the weather.",low-cloze,discussing,"The fresh, warm bread was"
60,The dusty tabletops were wiping thoroughly.,reversed,wiping,The dusty tabletops were
60,The dusty tabletops were wiped thoroughly.,canonical,wiped,The dusty tabletops were
60,The tired busboy was wiping for hours.,high-cloze,wiping,The tired busboy was
60,The hearty meal was wiping thoroughly.,low-cloze,wiping,The hearty meal was
61,A tiny spy camera was concealing by the agent inside a flowerpot.,reversed,concealing,A tiny spy camera was
61,A tiny spy camera was concealed by the agent inside a flowerpot.,canonical,concealed,A tiny spy camera was
61,The sneaky lawyer was concealing the truth.,high-cloze,concealing,The sneaky lawyer was
61,A faint light was concealing their identity.,low-cloze,concealing,A faint light was
62,"The fresh, warm bread was slicing by the baker into halves.",reversed,slicing,"The fresh, warm bread was"
62,"The fresh, warm bread was sliced with love.",canonical,sliced,"The fresh, warm bread was"
62,The chef's assistants were slicing the mushrooms for a pie.,high-cloze,slicing,The chef's assistants were
62,Several important topics were slicing with love.,low-cloze,slicing,Several important topics were
63,The tarnished silverware was polishing by the butler.,reversed,polishing,The tarnished silverware was
63,The tarnished silverware was polished by the butler.,canonical,polished,The tarnished silverware was
63,The thorough butler was polishing the doorknobs.,high-cloze,polishing,The thorough butler was
63,The winning lottery numbers had been polishing his shoes.,low-cloze,polishing,The winning lottery numbers had been
64,Poisonous fumes had been inhaling the firefighters.,reversed,inhaling,Poisonous fumes had been
64,Poisonous fumes had been inhaled by the firefighters.,canonical,inhaled,Poisonous fumes had been
64,The firefighters had been inhaling the smoke.,high-cloze,inhaling,The firefighters had been
64,The man's signature was inhaling during the fire.,low-cloze,inhaling,The man's signature was
65,A genetic mutation was discovering the scientists.,reversed,discovering,A genetic mutation was
65,A genetic mutation was discovered suddenly.,canonical,discovered,A genetic mutation was
65,The excited explorers were discovering ancient artifacts everywhere they looked.,high-cloze,discovering,The excited explorers were
65,The pizza had been discovering new methods for making dough.,low-cloze,discovering,The pizza had been
66,The Queen's 80th birthday was celebrating expensively.,reversed,celebrating,The Queen's 80th birthday was
66,The Queen's 80th birthday was celebrated by thousands of people in the streets.,canonical,celebrated,The Queen's 80th birthday was
66,Thousands of excited fans were celebrating the Superbowl victory in the streets.,high-cloze,celebrating,Thousands of excited fans were
66,The car door had been celebrating her promotion.,low-cloze,celebrating,The car door had been
67,The diagram on the chalkboard had been erasing Mrs. Larson.,reversed,erasing,The diagram on the chalkboard had been
67,The diagram on the chalkboard had been erased by Mrs. Larson.,canonical,erased,The diagram on the chalkboard had been
67,Mrs. Larson had been erasing the chalkboard.,high-cloze,erasing,Mrs. Larson had been
67,Food for the homeless had been erasing over and over.,low-cloze,erasing,Food for the homeless had been
68,The movie was directing Steven Spielberg.,reversed,directing,The movie was
68,The movie was directed professionally.,canonical,directed,The movie was
68,Steven Spielberg was directing another blockbuster.,high-cloze,directing,Steven Spielberg was
68,The victim's body had been directing the police.,low-cloze,directing,The victim's body had been
69,Theresa's birthday gift had been wrapping yesterday.,reversed,wrapping,Theresa's birthday gift had been
69,Theresa's birthday gift had been wrapped yesterday.,canonical,wrapped,Theresa's birthday gift had been
69,Theresa's loving grandmother had been wrapping the presents.,high-cloze,wrapping,Theresa's loving grandmother had been
69,The embarrassing allegations had been wrapping yesterday.,low-cloze,wrapping,The embarrassing allegations had been
70,The popular amusement park is visiting by millions of tourists eh year.,reversed,visiting,The popular amusement park is
70,The popular amusement park is visited daily.,canonical,visited,The popular amusement park is
70,The tourists had been visiting the amusement park in the morning.,high-cloze,visiting,The tourists had been
70,The man's beard had been visiting a friend in the hospital.,low-cloze,visiting,The man's beard had been
71,Ten new trees had been planting on dry land.,reversed,planting,Ten new trees had been
71,Ten new trees had been planted by the Forestry Service.,canonical,planted,Ten new trees had been
71,The forestry workers had been planting cedar saplings on the hillside.,high-cloze,planting,The forestry workers had been
71,The sin had been planting doubt in her mind.,low-cloze,planting,The sin had been
72,Food for the homeless had been donating neighborhood residents.,reversed,donating,Food for the homeless had been
72,Food for the homeless had been donated many times.,canonical,donated,Food for the homeless had been
72,The wealthy American philanthropist had been donating money to Romanian orphanages.,high-cloze,donating,The wealthy American philanthropist had been
72,The diagram on the chalkboard had been donating blood.,low-cloze,donating,The diagram on the chalkboard had been
73,The rare bird's behavior was observing by the biologists.,reversed,observing,The rare bird's behavior was
73,The rare bird's behavior was observed by the biologists.,canonical,observed,The rare bird's behavior was
73,The excited bird watchers were observing the rare eagle.,high-cloze,observing,The excited bird watchers were
73,Wilson's unreasonable proposal was observing the stars.,low-cloze,observing,Wilson's unreasonable proposal was
74,Stormy weather had been forecasting by the weatherman.,reversed,forecasting,Stormy weather had been
74,Stormy weather had been forecasted by the weatherman.,canonical,forecasted,Stormy weather had been
74,The weather service had been forecasting snow for the mountain areas.,high-cloze,forecasting,The weather service had been
74,Olson's bulging suitcase had been forecasting correctly.,low-cloze,forecasting,Olson's bulging suitcase had been
75,The tragic mistake was regretting by Erika for many years.,reversed,regretting,The tragic mistake was
75,The tragic mistake was regretted years later.,canonical,regretted,The tragic mistake was
75,Erika was regretting the mistake.,high-cloze,regretting,Erika was
75,The library books had been regretting their behavior.,low-cloze,regretting,The library books had been
76,The stolen artwork had been seizing without warning.,reversed,seizing,The stolen artwork had been
76,The stolen artwork had been seized by the border police.,canonical,seized,The stolen artwork had been
76,The police had been seizing shipments of drugs at the border.,high-cloze,seizing,The police had been
76,The grimy pots and pans had been seizing without warning.,low-cloze,seizing,The grimy pots and pans had been
77,The value of the jewels was estimating the dealer.,reversed,estimating,The value of the jewels was
77,The value of the jewels was estimated by the dealer.,canonical,estimated,The value of the jewels was
77,The jewel expert was estimating the value of the diamond.,high-cloze,estimating,The jewel expert was
77,The useful new gadget had been estimating professionally.,low-cloze,estimating,The useful new gadget had been
78,Larry's note had been scribbling his wife.,reversed,scribbling,Larry's note had been
78,Larry's note had been scribbled with haste.,canonical,scribbled,Larry's note had been
78,Larry's wife had been scribbling a note to him about dinner plans.,high-cloze,scribbling,Larry's wife had been
78,The broken television had been scribbling his thoughts on a napkin.,low-cloze,scribbling,The broken television had been
79,Carrie's morning meeting was canceling as expected.,reversed,canceling,Carrie's morning meeting was
79,Carrie's morning meeting was canceled by the boss.,canonical,canceled,Carrie's morning meeting was
79,Carrie had been canceling all of her meetings.,high-cloze,canceling,Carrie had been
79,The bubblegum had been canceling as expected.,low-cloze,canceling,The bubblegum had been
80,The girl's disease was curing a simple treatment.,reversed,curing,The girl's disease was
80,The girl's disease was cured by a simple treatment.,canonical,cured,The girl's disease was
80,The foreign doctors were curing hundreds of villagers of malaria.,high-cloze,curing,The foreign doctors were
80,Billy's unruly hair was curing his cold.,low-cloze,curing,Billy's unruly hair was
81,Janet's houseplants were watering too much.,reversed,watering,Janet's houseplants were
81,Janet's houseplants were watered by her neighbor.,canonical,watered,Janet's houseplants were
81,The gardener was watering the plants.,high-cloze,watering,The gardener was
81,The roast lamb had been watering too much.,low-cloze,watering,The roast lamb had been
82,The useful new gadget had been inventing by a bored waiter.,reversed,inventing,The useful new gadget had been
82,The useful new gadget had been invented by a bored waiter.,canonical,invented,The useful new gadget had been
82,The resourceful engineers had been inventing tiny new devices.,high-cloze,inventing,The resourceful engineers had been
82,The value of the jewels was inventing the digital computer.,low-cloze,inventing,The value of the jewels was
83,The phone bill had been paying his roommate.,reversed,paying,The phone bill had been
83,The phone bill had been paid quickly.,canonical,paid,The phone bill had been
83,Juan and Perry had been paying too much for their apartment.,high-cloze,paying,Juan and Perry had been
83,"The dark, underwater cave was paying attention to the divers.",low-cloze,paying,"The dark, underwater cave was"
84,The man's signature was forging the lawyers.,reversed,forging,The man's signature was
84,The man's signature was forged by the lawyers.,canonical,forged,The man's signature was
84,The con artists were forging the signatures on checks.,high-cloze,forging,The con artists were
84,Poisonous fumes had been forging very well.,low-cloze,forging,Poisonous fumes had been
85,The bank had been robbing two masked men.,reversed,robbing,The bank had been
85,The bank had been robbed repeatedly.,canonical,robbed,The bank had been
85,The clever burglars had been robbing houses in broad daylight.,high-cloze,robbing,The clever burglars had been
85,The musical piece was robbing repeatedly.,low-cloze,robbing,The musical piece was
86,An urgent message had been sending by the ambassador to the President.,reversed,sending,An urgent message had been
86,An urgent message had been sent again.,canonical,sent,An urgent message had been
86,The Prime Minister had been sending urgent messages to her Ambassador.,high-cloze,sending,The Prime Minister had been
86,The height of the bookcase was sending mixed signals to the carpenter.,low-cloze,sending,The height of the bookcase was
87,The sleek new building was designing a team of German architects.,reversed,designing,The sleek new building was
87,The sleek new building was designed by a team of German architects.,canonical,designed,The sleek new building was
87,A team of architects had been designing the new building.,high-cloze,designing,A team of architects had been
87,The leftover food was designing with flair.,low-cloze,designing,The leftover food was
88,The final exams had been grading in school.,reversed,grading,The final exams had been
88,The final exams had been graded in school.,canonical,graded,The final exams had been
88,The professor had been grading the final exams until 4 AM.,high-cloze,grading,The professor had been
88,The appetizers had been grading Iverson's students.,low-cloze,grading,The appetizers had been
89,The final destination had been reaching too late.,reversed,reaching,The final destination had been
89,The final destination had been reached too late.,canonical,reached,The final destination had been
89,The curious child had been reaching for the cup on the table.,high-cloze,reaching,The curious child had been
89,Several spelling errors were reaching too late.,low-cloze,reaching,Several spelling errors were
90,A faint light was perceiving by the rescue workers.,reversed,perceiving,A faint light was
90,A faint light was perceived underwater.,canonical,perceived,A faint light was
90,The worried pilot was perceiving a rattling sound in the jet's engine.,high-cloze,perceiving,The worried pilot was
90,A tiny spy camera was perceiving underwater.,low-cloze,perceiving,A tiny spy camera was
91,The bubblegum had been chewing by the boy.,reversed,chewing,The bubblegum had been
91,The bubblegum had been chewed by the boy.,canonical,chewed,The bubblegum had been
91,The hungry dog had been chewing a bone.,high-cloze,chewing,The hungry dog had been
