Unnamed: 0,sentence,item,type,condition,patient,agent,context_had,target,item_num_original,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal,bert-large-uncased_surprisal,roberta-base_surprisal,roberta-large_surprisal
10,the roman emperor asked which god the gladiator had blessed with superhuman strength.,3,alternative,alt_reversed,god,gladiator,The Roman emperor asked which god the gladiator had,blessed,3,12.592982292175291,12.842970848083496,12.143831253051758,4.992888927459717,6.762656211853027,3.571845769882202,2.7768290042877197
11,the roman emperor asked which gladiator the god had blessed with superhuman strength.,3,alternative,alt_canonical,gladiator,god,The Roman emperor asked which gladiator the god had,blessed,3,14.291543960571287,9.62032985687256,8.981821060180664,5.193609237670898,4.441713333129883,1.802997350692749,1.7932260036468506
12,the scientist noted which antelope the lion had killed after a short chase.,4,reversal,canonical,antelope,lion,The scientist noted which antelope the lion had,killed,4,3.158911228179932,1.7821695804595947,1.3950117826461792,1.825883388519287,2.8659353256225586,2.2764036655426025,0.858130156993866
13,the scientist noted which lion the antelope had killed after a short chase.,4,reversal,reversed,lion,antelope,The scientist noted which lion the antelope had,killed,4,4.364484786987305,3.2810988426208496,2.7640514373779297,5.463499546051025,2.8891971111297607,2.890868663787842,1.9767658710479736
14,the scientist noted which antelope the lion had run from without any success.,4,alternative,alt_reversed,antelope,lion,The scientist noted which antelope the lion had,run from,4,16.20777702331543,16.4948148727417,16.12669086456299,9.047869682312012,10.786676406860352,11.566306591033936,17.813308715820312
15,the scientist noted which lion the antelope had run from without any success.,4,alternative,alt_canonical,lion,antelope,The scientist noted which lion the antelope had,run from,4,15.534232139587402,15.449292182922363,13.666462421417236,10.174614906311035,10.327311992645264,8.353013038635254,6.07274317741394
16,the secretary confirmed which illustrator the author had chosen for the novel.,5,reversal,canonical,illustrator,author,The secretary confirmed which illustrator the author had,chosen,5,3.043548107147217,2.942758083343506,2.0829851627349854,1.6442545652389526,0.9861155152320862,0.9446690678596495,2.011354923248291
17,the secretary confirmed which author the illustrator had chosen for the novel.,5,reversal,reversed,author,illustrator,The secretary confirmed which author the illustrator had,chosen,5,3.52567195892334,4.5504021644592285,3.3198788166046143,0.5106440186500549,0.7558678984642029,0.5146684050559998,1.0091556310653687
18,the secretary confirmed which illustrator the author had drawn for in the new children's novel.,5,alternative,alt_reversed,illustrator,author,The secretary confirmed which illustrator the author had,drawn for,5,8.007017135620117,10.101529121398926,9.239671230316162,13.19187307357788,19.4456844329834,13.279754400253296,12.557078242301941
19,the secretary confirmed which author the illustrator had drawn for in the new children's novel.,5,alternative,alt_canonical,author,illustrator,The secretary confirmed which author the illustrator had,drawn for,5,8.186704397201538,9.98923683166504,8.097446203231812,12.473740100860596,16.041813373565674,8.565008282661438,9.609108209609985
20,the homeowner asked which wasps the exterminator had killed in the local park.,6,reversal,canonical,wasps,exterminator,The homeowner asked which wasps the exterminator had,killed,7,3.818840265274048,3.09627103805542,3.8256618976593018,5.670452117919922,4.942488193511963,1.6240720748901367,2.8326945304870605
21,the homeowner asked which exterminator the wasps had killed in the local park.,6,reversal,reversed,exterminator,wasps,The homeowner asked which exterminator the wasps had,killed,7,5.598401069641113,6.9218034744262695,4.410167694091797,2.2323760986328125,4.174163341522217,5.575936317443848,4.915010929107666
22,the homeowner asked which wasps the exterminator had stung in the local park.,6,alternative,alt_reversed,wasps,exterminator,The homeowner asked which wasps the exterminator had,stung,7,12.112069129943848,11.190044164657593,9.21780888736248,19.476837158203125,18.581525802612305,8.77059257030487,6.442409723997116
23,the homeowner asked which exterminator the wasps had stung in the local park.,6,alternative,alt_canonical,exterminator,wasps,The homeowner asked which exterminator the wasps had,stung,7,14.104360818862917,11.771868377923964,8.58031091094017,15.550830841064451,15.087374687194824,9.80314564704895,7.532371997833252
24,the indians asked which buffalo the pioneers had killed during the stampede.,7,reversal,canonical,buffalo,pioneers,The Indians asked which buffalo the pioneers had,killed,8,2.4344048500061035,1.366241216659546,2.323195219039917,2.094505071640014,1.1661235094070437,0.9140148758888244,0.614173412322998
25,the indians asked which pioneers the buffalo had killed during the stampede.,7,reversal,reversed,pioneers,buffalo,The Indians asked which pioneers the buffalo had,killed,8,4.019385814666748,3.094917297363281,2.520873546600342,1.9711811542510984,0.7081791758537292,1.1848559379577637,0.9893597960472107
26,the indians asked which buffalo the pioneers had trampled during the stampede.,7,alternative,alt_reversed,buffalo,pioneers,The Indians asked which buffalo the pioneers had,trampled,8,12.001152509299573,15.032945680664852,13.470751353888772,0.0026911845634458,7.429650122503517e-05,0.0004787996876984,0.002498564004781656
27,the indians asked which pioneers the buffalo had trampled during the stampede.,7,alternative,alt_canonical,pioneers,buffalo,The Indians asked which pioneers the buffalo had,trampled,8,11.866560890281107,10.639039342058824,10.106147373269778,0.0037533494760282,0.0002641653572936,0.0005228272639214,0.0017611023868084885
28,the historian documented which prince the assassin had killed at the masquerade ball.,8,reversal,canonical,prince,assassin,The historian documented which prince the assassin had,killed,9,4.729759693145752,3.480037212371826,2.9075069427490234,4.710508346557617,2.3022119998931885,2.613429069519043,2.4891090393066406
29,the historian documented which assassin the prince had killed at the masquerade ball.,8,reversal,reversed,assassin,prince,The historian documented which assassin the prince had,killed,9,2.9614696502685547,3.835559844970703,3.2004897594451904,7.133617401123047,2.9880857467651367,4.050792694091797,3.8822455406188965
30,the historian documented which prince the assassin had avoided on the battlefield.,8,alternative,alt_reversed,prince,assassin,The historian documented which prince the assassin had,avoided,9,12.976550102233888,13.064143180847168,14.688669204711914,12.007587432861328,15.859798431396484,12.352960586547852,12.23631477355957
31,the historian documented which assassin the prince had avoided on the battlefield.,8,alternative,alt_canonical,assassin,prince,The historian documented which assassin the prince had,avoided,9,12.056914329528809,11.823094367980955,14.049371719360352,11.439233779907228,14.390575408935549,10.222633361816406,8.196616172790527
32,the naturalist observed which predators the deer had avoided in the woods.,9,reversal,canonical,predators,deer,The naturalist observed which predators the deer had,avoided,10,8.399632453918457,8.021600723266602,6.704705238342285,10.812323570251465,11.056819915771484,8.211854934692383,5.5787482261657715
33,the naturalist observed which deer the predators had avoided in the woods.,9,reversal,reversed,deer,predators,The naturalist observed which deer the predators had,avoided,10,9.592405319213867,11.640006065368652,9.25632095336914,13.993227005004885,9.745319366455078,11.98667049407959,9.948687553405762
34,the naturalist observed which predators the deer had hunted through the woods.,9,alternative,alt_reversed,predators,deer,The naturalist observed which predators the deer had,hunted,10,5.308226585388184,6.38258695602417,5.37000846862793,8.940311431884766,5.032078742980957,9.293773651123049,6.877346992492676
35,the naturalist observed which deer the predators had hunted through the woods.,9,alternative,alt_canonical,deer,predators,The naturalist observed which deer the predators had,hunted,10,5.639225959777832,5.745596408843994,5.436465263366699,6.425570487976074,6.054786682128906,6.526678085327148,5.080670356750488
36,the nanny knew which housekeeper the billionaire had hired at a high salary.,10,reversal,canonical,housekeeper,billionaire,The nanny knew which housekeeper the billionaire had,hired,11,5.444899082183838,3.941137790679932,2.7898874282836914,0.5361359715461731,0.1490126550197601,0.1781987845897674,0.397266149520874
37,the nanny knew which billionaire the housekeeper had hired at a high salary.,10,reversal,reversed,billionaire,housekeeper,The nanny knew which billionaire the housekeeper had,hired,11,5.524281024932861,5.013329982757568,4.514197826385498,2.174461841583252,3.126323938369751,3.1302602291107178,6.302561283111572
38,the nanny knew which housekeeper the billionaire had worked for for many years.,10,alternative,alt_reversed,housekeeper,billionaire,The nanny knew which housekeeper the billionaire had,worked for,11,14.004484057426453,13.783041507005692,12.26353520154953,2.96475113928318,1.642536163330078,5.793382786214352,4.168826401233673
39,the nanny knew which billionaire the housekeeper had worked for for many years.,10,alternative,alt_canonical,billionaire,housekeeper,The nanny knew which billionaire the housekeeper had,worked for,11,13.739273071289062,11.79188460111618,11.06195129454136,7.581740975379944,9.217404842376707,1.2133059464395046,0.4529885444790125
40,the park ranger documented which elephant the poacher had killed in the national park.,11,reversal,canonical,elephant,poacher,The park ranger documented which elephant the poacher had,killed,12,3.298797845840454,2.554269790649414,1.84467351436615,2.7457664012908936,1.3853601217269895,0.3627375364303589,0.24509590864181519
41,the park ranger documented which poacher the tiger had killed in the national park.,11,reversal,reversed,poacher,tiger,The park ranger documented which poacher the tiger had,killed,12,3.645085573196411,2.7459657192230225,0.76576167345047,2.09818959236145,1.2763341665267944,1.3081302642822266,1.0100857019424438
42,the park ranger documented which tiger the poacher had mauled in the national park.,11,alternative,alt_reversed,tiger,poacher,The park ranger documented which tiger the poacher had,mauled,12,12.729489476419984,10.444867039623205,11.871631885645913,0.005817141267471,0.0007209512696135,0.152926978553296,1.2563649083531345
43,the park ranger documented which poacher the elephant had mauled in the national park.,11,alternative,alt_canonical,poacher,elephant,The park ranger documented which poacher the elephant had,mauled,12,13.798479166813197,9.5913814335363,10.414256108924748,0.0061445962637662,0.0008695442666066,0.1858926004497334,0.06981119852207485
44,the restaurant owner forgot which customer the waitress had served at brunch that morning.,12,reversal,canonical,customer,waitress,The restaurant owner forgot which customer the waitress had,served,14,6.130661487579346,6.348971843719482,5.4643096923828125,1.9040873050689693,0.5804207921028137,0.4294943511486053,0.19928523898124695
45,the restaurant owner forgot which waitress the customer had served at brunch that morning.,12,reversal,reversed,waitress,customer,The restaurant owner forgot which waitress the customer had,served,14,5.728877067565918,7.9340081214904785,8.106443405151367,3.3570573329925537,2.73331880569458,4.756929874420166,5.678757190704346
46,the restaurant owner forgot which customer the waitress had tipped at brunch that morning.,12,alternative,alt_reversed,customer,waitress,The restaurant owner forgot which customer the waitress had,tipped,14,11.619643211364746,8.493047714233398,10.511752128601074,12.688891410827637,11.047359466552734,10.390426635742188,11.003939628601074
47,the restaurant owner forgot which waitress the customer had tipped at brunch that morning.,12,alternative,alt_canonical,waitress,customer,The restaurant owner forgot which waitress the customer had,tipped,14,11.45430850982666,8.989437103271484,9.058168411254885,13.136191368103027,10.785911560058594,10.905763626098633,4.665727138519287
48,the art historian researched which model the artist had painted with delicate watercolors.,13,reversal,canonical,model,artist,The art historian researched which model the artist had,painted,16,5.394201278686523,2.870993137359619,4.596590042114258,3.026710271835327,4.407664775848389,3.160655975341797,1.7002562284469604
49,the art historian researched which artist the model had painted with delicate watercolors.,13,reversal,reversed,artist,model,The art historian researched which artist the model had,painted,16,5.698035717010498,4.70526933670044,5.700082778930664,5.218571186065674,3.7694716453552246,3.544771671295166,2.9391863346099854
50,the art historian researched which model the artist had posed for in the studio.,13,alternative,alt_reversed,model,artist,The art historian researched which model the artist had,posed for,16,14.190434336662292,13.035916090011597,13.268431544303894,1.3419806212186811,3.048730969429016,5.22615385055542,4.229887127876282
51,the art historian researched which artist the model had posed for in the studio.,13,alternative,alt_canonical,artist,model,The art historian researched which artist the model had,posed for,16,12.742037892341614,8.619935512542725,9.977107405662537,2.5203685760498047,1.894098579883576,3.826330542564392,2.1984446346759796
52,the mafia boss knew which policeman the mobster had bribed with a suitcase of money.,14,reversal,canonical,policeman,mobster,The mafia boss knew which policeman the mobster had,bribed,17,11.46648183092475,11.021616619080303,10.170507296919824,0.0536806024319957,0.0024627915117889,0.0067169543472118,0.0007704822928644717
53,the mafia boss knew which mobster the policeman had bribed with a suitcase of money.,14,reversal,reversed,mobster,policeman,The mafia boss knew which mobster the policeman had,bribed,17,11.585873622447252,11.942574575543404,10.00876222923398,0.1095763399789575,0.0175835061818361,0.0068903127103112,0.0011061924160458148
54,the mafia boss knew which policeman the mobster had arrested on false charges.,14,alternative,alt_reversed,policeman,mobster,The mafia boss knew which policeman the mobster had,arrested,17,6.491500377655029,6.416708469390869,6.825732231140137,3.4569132328033447,0.5098969340324402,1.4932881593704224,0.5900077819824219
55,the mafia boss knew which mobster the policeman had arrested on false charges.,14,alternative,alt_canonical,mobster,policeman,The mafia boss knew which mobster the policeman had,arrested,17,7.131474018096924,4.785355567932129,6.507131576538086,2.331870079040528,0.2693193256855011,0.8950802683830261,0.19318191707134247
56,the scholar wondered which king the jester had entertained at the royal feast.,15,reversal,canonical,king,jester,The scholar wondered which king the jester had,entertained,18,12.251636505126951,11.873868942260742,12.841464042663574,3.8093936443328857,4.728471755981445,6.706466197967529,4.542361736297607
57,the scholar wondered which jester the king had entertained at the royal feast.,15,reversal,reversed,jester,king,The scholar wondered which jester the king had,entertained,18,12.30685806274414,11.6953706741333,10.303080558776855,5.65057373046875,4.937479972839356,5.453094959259033,5.116778373718262
58,the scholar wondered which king the jester had hired for the royal feast.,15,alternative,alt_reversed,king,jester,The scholar wondered which king the jester had,hired,18,8.853105545043945,9.522797584533691,10.224812507629396,7.781291961669922,8.821318626403809,7.286216735839844,8.289139747619629
59,the scholar wondered which jester the king had hired for the royal feast.,15,alternative,alt_canonical,jester,king,The scholar wondered which jester the king had,hired,18,7.504310131072998,6.396984100341797,6.137824058532715,3.613515138626098,5.362784862518311,4.314356803894043,3.0650994777679443
60,the sports doctor recalled which player the physical therapist had treated after the soccer game.,16,reversal,canonical,player,physical therapist,The sports doctor recalled which player the physical therapist had,treated,19,7.119278430938721,5.807136058807373,5.938573360443115,6.721446514129639,5.897502422332764,6.864434242248535,3.476228952407837
61,the sports doctor recalled which physical therapist the player had treated after the soccer game.,16,reversal,reversed,physical therapist,player,The sports doctor recalled which physical therapist the player had,treated,19,8.011584281921387,8.741957664489746,8.366179466247559,11.25236988067627,11.78403377532959,13.216989517211914,11.966635704040527
62,the sports doctor recalled which player the physical therapist had seen after the soccer game.,16,alternative,alt_reversed,player,physical therapist,The sports doctor recalled which player the physical therapist had,seen,19,5.387762546539307,3.9811370372772217,3.60218358039856,4.96195125579834,3.6907835006713854,1.04252028465271,2.668658971786499
63,the sports doctor recalled which physical therapist the player had seen after the soccer game.,16,alternative,alt_canonical,physical therapist,player,The sports doctor recalled which physical therapist the player had,seen,19,6.430918216705322,5.168758392333984,3.3818392753601074,2.7973129749298096,1.2925982475280762,0.8673731684684753,1.286804437637329
64,the barkeeper explained which regulars the barmaid had served on thursday night.,17,reversal,canonical,regulars,barmaid,The barkeeper explained which regulars the barmaid had,served,20,5.085590362548828,5.867992877960205,6.47190523147583,3.589569568634033,3.720254421234131,2.179614543914795,0.9745059609413147
65,the barkeeper explained which barmaid the regulars had served on thursday night.,17,reversal,reversed,barmaid,regulars,The barkeeper explained which barmaid the regulars had,served,20,6.737878322601318,9.408117294311523,9.851845741271973,4.226451396942139,4.671562194824219,5.925964832305908,7.4600348472595215
66,the barkeeper explained which regulars the barmaid had tipped for excellent service.,17,alternative,alt_reversed,regulars,barmaid,The barkeeper explained which regulars the barmaid had,tipped,20,11.64174461364746,11.085731506347656,9.301408767700195,11.114287376403809,10.043813705444336,4.576301574707031,8.538578033447266
67,the barkeeper explained which barmaid the regulars had tipped for excellent service.,17,alternative,alt_canonical,barmaid,regulars,The barkeeper explained which barmaid the regulars had,tipped,20,11.231925010681152,11.420208930969238,9.742725372314451,11.041613578796388,7.286409378051758,8.063765525817871,6.538197040557861
68,the assistant guessed which skeptic the magician had convinced during a riveting performance.,18,reversal,canonical,skeptic,magician,The assistant guessed which skeptic the magician had,convinced,21,11.402729988098145,10.09003734588623,11.52281665802002,10.606526374816896,11.200860977172852,8.266075134277344,7.497067928314209
69,the assistant guessed which magician the skeptic had convinced during a riveting performance.,18,reversal,reversed,magician,skeptic,The assistant guessed which magician the skeptic had,convinced,21,11.192234992980955,11.497004508972168,11.931666374206545,12.618342399597168,14.308452606201172,12.215717315673828,13.222972869873047
70,the assistant guessed which skeptic the magician had exposed as a fraud.,18,alternative,alt_reversed,skeptic,magician,The assistant guessed which skeptic the magician had,exposed,21,12.954415321350098,11.68204116821289,11.04951000213623,5.412112236022949,1.1002528667449951,1.9839670658111568,1.5720479488372803
71,the assistant guessed which magician the skeptic had exposed as a fraud.,18,alternative,alt_canonical,magician,skeptic,The assistant guessed which magician the skeptic had,exposed,21,12.235357284545898,11.70140266418457,11.631546974182127,4.700708389282227,0.956229031085968,3.104806900024414,2.5839993953704834
72,the farmer's wife heard which chicken the farmhand had killed outside the coop.,19,reversal,canonical,chicken,farmhand,The farmer's wife heard which chicken the farmhand had,killed,22,6.308103561401367,4.163246154785156,3.64371109008789,6.233462810516357,3.67191481590271,4.027462005615234,5.857641220092773
73,the farmer's wife heard which farmhand the chicken had killed outside the coop.,19,reversal,reversed,farmhand,chicken,The farmer's wife heard which farmhand the chicken had,killed,22,6.699145317077637,7.718966484069824,3.2475855350494385,3.749725341796875,2.1040852069854736,3.394737958908081,7.619590759277344
74,the farmer's wife heard which chicken the farmhand had pecked outside the coop.,19,alternative,alt_reversed,chicken,farmhand,The farmer's wife heard which chicken the farmhand had,pecked,22,13.667761443182826,12.428572368458845,11.809151416178793,6.22556571289897,3.164689876837656,0.1061449400149285,0.04963556834263727
75,the farmer's wife heard which farmhand the chicken had pecked outside the coop.,19,alternative,alt_canonical,farmhand,chicken,The farmer's wife heard which farmhand the chicken had,pecked,22,13.758842865005136,14.850412881292868,9.611543940845875,5.720574364066124,1.201257587177679,0.0768390959128737,0.0831955753164948
76,the ufologist knew which astronaut the alien had abducted from the spaceship.,20,reversal,canonical,astronaut,alien,The UFOlogist knew which astronaut the alien had,abducted,23,10.00831127166748,6.633500099182129,7.745460987091064,5.0033769607543945,3.521147966384888,7.748704433441162,3.6341943740844727
77,the ufologist knew which alien the astronaut had abducted from the spaceship.,20,reversal,reversed,alien,astronaut,The UFOlogist knew which alien the astronaut had,abducted,23,11.566765785217283,9.298598289489746,11.968393325805664,5.560441017150879,5.460780620574951,10.330636978149414,5.714881896972656
78,the ufologist knew which astronaut the alien had seen on the ice planet.,20,alternative,alt_reversed,astronaut,alien,The UFOlogist knew which astronaut the alien had,seen,23,4.7569684982299805,5.141714572906494,6.869282245635986,2.40996527671814,4.877927303314209,4.350247383117676,6.18992805480957
79,the ufologist knew which alien the astronaut had seen on the ice planet.,20,alternative,alt_canonical,alien,astronaut,The UFOlogist knew which alien the astronaut had,seen,23,3.176753520965576,2.078695058822632,2.4034066200256348,0.7337316274642944,1.6600275039672852,2.476839065551758,4.045879364013672
80,the priest recorded which cannibal the missionary had converted in the remote territories.,21,reversal,canonical,cannibal,missionary,The priest recorded which cannibal the missionary had,converted,24,11.090255737304688,11.627578735351562,11.273967742919922,13.563713073730469,14.353281021118164,12.747889518737791,10.205692291259766
81,the priest recorded which missionary the cannibal had converted in the remote territories.,21,reversal,reversed,missionary,cannibal,The priest recorded which missionary the cannibal had,converted,24,9.755285263061523,9.036205291748049,7.524874687194824,12.023568153381348,10.12415599822998,14.60706615447998,10.56799030303955
82,the priest recorded which cannibal the missionary had eaten for his dinner.,21,alternative,alt_reversed,cannibal,missionary,The priest recorded which cannibal the missionary had,eaten,24,2.7533514499664307,2.5194880962371826,1.6186195611953735,4.7212677001953125,3.9114742279052734,4.9775824546813965,4.195496082305908
83,the priest recorded which missionary the cannibal had eaten for his dinner.,21,alternative,alt_canonical,missionary,cannibal,The priest recorded which missionary the cannibal had,eaten,24,4.358310222625732,3.931033611297608,4.446476459503174,5.677051067352295,5.358156681060791,6.821308135986328,4.547887325286865
84,the forest ranger learned which hiker the bear had mauled on the mountain trail.,22,reversal,canonical,hiker,bear,The forest ranger learned which hiker the bear had,mauled,25,11.697197560220957,8.702784401830286,7.935152757912874,0.0046366522728931,0.0003549721877789,0.0481578953913413,0.005079679445771035
85,the forest ranger learned which bear the hiker had mauled on the mountain trail.,22,reversal,reversed,bear,hiker,The forest ranger learned which bear the hiker had,mauled,25,11.821025719866157,10.699456642265432,11.467765312991103,0.0567570254206657,0.0007512202282669,0.4491306379204616,0.04514475702308118
86,the forest ranger learned which hiker the bear had seen in the state park.,22,alternative,alt_reversed,hiker,bear,The forest ranger learned which hiker the bear had,seen,25,6.563034057617188,6.681303024291992,7.016820430755615,1.7711529731750488,4.810534954071045,3.724409580230713,4.592679500579834
87,the forest ranger learned which bear the hiker had seen in the state park.,22,alternative,alt_canonical,bear,hiker,The forest ranger learned which bear the hiker had,seen,25,4.95460844039917,3.813116788864136,3.071440935134888,0.5038664937019348,0.7072188258171082,1.3516982793807983,0.7965741157531738
88,the thief saw which con artist the detective had arrested after a long investigation.,23,reversal,canonical,con artist,detective,The thief saw which con artist the detective had,arrested,26,7.796201705932617,8.017858505249023,9.048466682434082,6.627608776092529,4.559879302978516,3.852266788482666,3.0051889419555664
89,the thief saw which detective the con artist had arrested after a long investigation.,23,reversal,reversed,detective,con artist,The thief saw which detective the con artist had,arrested,26,8.316255569458008,8.320591926574707,8.722813606262207,7.391175270080566,9.543896675109863,8.041220664978027,5.6122918128967285
90,the thief saw which con artist the detective had tricked during the interrogation.,23,alternative,alt_reversed,con artist,detective,The thief saw which con artist the detective had,tricked,26,9.952220916748049,8.743498802185059,8.94293212890625,12.121700286865234,13.845797538757324,10.149002075195312,9.750514030456543
91,the thief saw which detective the con artist had tricked during the interrogation.,23,alternative,alt_canonical,detective,con artist,The thief saw which detective the con artist had,tricked,26,11.255314826965332,9.906662940979004,8.676655769348145,12.528424263000488,14.437660217285156,8.281440734863281,8.664067268371582
92,the news anchor explained which criminal the journalist had interviewed over the phone.,24,reversal,canonical,criminal,journalist,The news anchor explained which criminal the journalist had,interviewed,27,9.485980033874512,5.676627159118652,7.5845842361450195,8.241339683532715,7.857480049133301,4.3165717124938965,1.473019003868103
93,the news anchor explained which journalist the criminal had interviewed over the phone.,24,reversal,reversed,journalist,criminal,The news anchor explained which journalist the criminal had,interviewed,27,7.262224674224853,7.563065052032471,6.843342304229736,4.8521270751953125,9.135574340820312,6.275261878967285,7.553142070770264
94,the news anchor explained which criminal the journalist had confessed to over the phone.,24,alternative,alt_reversed,criminal,journalist,The news anchor explained which criminal the journalist had,confessed to,27,7.921999901533127,9.687932059168816,7.96842260658741,10.714437832590193,10.23936573555693,10.766210597008468,8.561687130481005
95,the news anchor explained which journalist the criminal had confessed to over the phone.,24,alternative,alt_canonical,journalist,criminal,The news anchor explained which journalist the criminal had,confessed to,27,9.18492978811264,10.58119860291481,9.1008478179574,13.101074606413022,12.539662336697802,11.484035313129423,6.477857147343457
96,the detective recalled which thief the cop had arrested in the bank.,25,reversal,canonical,thief,cop,The detective recalled which thief the cop had,arrested,28,6.301763534545898,4.538702011108398,4.357131004333496,8.146186828613281,6.146907806396484,6.67841386795044,4.782130241394043
97,the detective recalled which cop the thief had arrested in the bank.,25,reversal,reversed,cop,thief,The detective recalled which cop the thief had,arrested,28,6.7015886306762695,8.029184341430664,7.783340930938721,7.659804344177246,7.855743885040283,8.679142951965332,10.418879508972168
98,the detective recalled which thief the cop had run from during the arrest.,25,alternative,alt_reversed,thief,cop,The detective recalled which thief the cop had,run from,28,13.637932300567629,16.135550022125244,15.805408000946043,11.59172010421753,9.16369652748108,4.939773678779602,10.997665882110596
99,the detective recalled which cop the thief had run from during the arrest.,25,alternative,alt_canonical,cop,thief,The detective recalled which cop the thief had,run from,28,13.711931705474854,13.086883544921877,11.165269136428831,12.345465183258057,10.250031232833862,4.930957317352295,3.9424972534179688
100,the policeman observed which old lady the thief had robbed at a street corner.,26,reversal,canonical,old lady,thief,The policeman observed which old lady the thief had,robbed,29,6.604574203491211,5.2123894691467285,5.623772144317627,9.308387756347656,6.007016658782959,0.9835674166679382,2.3695247173309326
101,the policeman observed which thief the old lady had robbed at a street corner.,26,reversal,reversed,thief,old lady,The policeman observed which thief the old lady had,robbed,29,5.283395290374756,5.814565658569336,6.448050022125244,8.526537895202637,8.672394752502441,3.88706374168396,6.035363674163818
102,the policeman observed which old lady the thief had identified from the line-up.,26,alternative,alt_reversed,old lady,thief,The policeman observed which old lady the thief had,identified,29,8.991109848022461,10.37157154083252,9.57411003112793,7.231350421905518,11.287298202514648,8.627756118774414,10.978833198547363
103,the policeman observed which thief the old lady had identified from the line-up.,26,alternative,alt_canonical,thief,old lady,The policeman observed which thief the old lady had,identified,29,9.035863876342772,9.02016830444336,8.162056922912598,8.401049613952637,8.528399467468262,8.416712760925293,4.493661880493164
104,the cattle rancher remembered which bull the cowboy had ridden at the local rodeo.,27,reversal,canonical,bull,cowboy,The cattle rancher remembered which bull the cowboy had,ridden,30,6.698638916015625,6.370908737182617,5.768149375915527,2.129234552383423,1.7305554151535034,2.1767115592956543,1.6562341451644897
105,the cattle rancher remembered which cowboy the bull had ridden at the local rodeo.,27,reversal,reversed,cowboy,bull,The cattle rancher remembered which cowboy the bull had,ridden,30,5.816216468811035,6.451853275299072,5.657652854919434,5.096140384674072,6.328365802764893,5.528353214263916,6.163330078125
106,the cattle rancher remembered which bull the cowboy had gored out on the range.,27,alternative,alt_reversed,bull,cowboy,The cattle rancher remembered which bull the cowboy had,gored,30,16.82611083984375,12.648407321423292,13.349048087373376,11.531466003594687,3.860286752281354,8.483909845352173,4.504101753234863
