item,sentence,condition,target,context_had,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal,bert-large-uncased_surprisal,roberta-base_surprisal,roberta-large_surprisal
14,wendy's muddy car was approving the boy's request.,low-cloze,approving,Wendy's muddy car was,22.00203514099121,20.627416610717773,21.64957046508789,0.0150464181788265,0.0322364288149401,20.213003158569336,18.279571533203125
15,the cheap products had been manufacturing a belgian firm.,reversed,manufacturing,The cheap products had been,11.81590747833252,12.138331413269045,11.686874389648438,19.2546501159668,16.512737274169922,14.303982734680176,14.507713317871094
15,the cheap products had been manufactured by a belgian firm.,canonical,manufactured,The cheap products had been,7.936892032623291,6.963398456573486,5.784538745880127,2.938071727752685,2.0994224548339844,3.0659773349761963,2.230689287185669
15,the auto company had been manufacturing parts in china.,high-cloze,manufacturing,The auto company had been,10.608319282531738,10.25576877593994,9.239835739135742,2.6315479278564453,1.5883712768554688,3.9465038776397705,3.3820483684539795
15,a drawing of the house had been manufacturing at a factory.,low-cloze,manufacturing,A drawing of the house had been,17.969186782836914,18.86708641052246,20.669750213623047,20.34566307067871,17.468847274780273,17.230424880981445,17.937597274780273
16,their secret conversation had been overhearing by a surprised neighbor.,reversed,overhearing,Their secret conversation had been,18.945575952529907,12.925126075744627,16.904460430145264,5.890857162885368,5.027088628310594,8.380975604057312,6.776776995509863
16,their secret conversation had been overheard by a surprised neighbor.,canonical,overheard,Their secret conversation had been,5.93492603302002,4.42672872543335,4.214387893676758,1.6973766088485718,0.4446700811386108,0.6926057934761047,0.18778854608535767
16,the annoyed resident had been overhearing his neighbor's phone conversations through the wall.,high-cloze,overhearing,The annoyed resident had been,15.571006312966349,16.588780883699656,16.07951154001057,0.0033571013482287,0.001362102625535,0.0863573029637336,0.0007869925757404417
16,a wet snowball had been overhearing despite the precautions.,low-cloze,overhearing,A wet snowball had been,23.22813653945923,25.844650268554688,27.66680145263672,8.72989410534501,7.632590104825795,20.908156394958496,20.418055534362793
17,the rough part of the wood was sanding to perfection.,reversed,sanding,The rough part of the wood was,15.11907434463501,15.59882879257202,18.383203506469727,12.678205966949465,13.71314525604248,14.735860347747805,12.371667385101318
17,the rough part of the wood was sanded by the carpenter.,canonical,sanded,The rough part of the wood was,11.471908688545229,9.175648510456083,9.538446985185146,4.935555264353752,6.262221409007907,1.2511696126312015,1.6157343108206987
17,the skillful carpenter was sanding the rough edge of the wood.,high-cloze,sanding,The skillful carpenter was,22.16174030303955,20.282371282577515,17.31617295742035,8.666500236839056,5.163320894120261,1.2933123148977757,2.855522788129747
17,three more martinis were sanding the chair.,low-cloze,sanding,Three more martinis were,26.60940933227539,27.23156499862671,27.561977863311768,15.372011138126254,12.785344291012734,19.33574938774109,17.508109092712402
18,a package had been receiving by the secretary in the office.,reversed,receiving,A package had been,11.905195236206056,11.681403160095217,12.62941837310791,16.246440887451172,17.03854751586914,16.135522842407227,13.404608726501465
18,a package had been received by the secretary in the office.,canonical,received,A package had been,6.885799884796143,7.816531658172607,6.282898902893066,4.699041843414307,5.428725719451904,2.6620492935180664,1.6793102025985718
18,the secretary had been receiving flowers all day.,high-cloze,receiving,The secretary had been,9.681913375854492,9.16708755493164,8.379941940307617,7.096108913421631,7.311079978942871,6.826860904693604,7.401978969573975
18,the noises in the attic had been receiving assistance from the government.,low-cloze,receiving,The noises in the attic had been,12.367154121398926,12.226452827453612,13.794907569885254,4.505781650543213,3.476999282836914,1.8294111490249636,3.4686450958251953
19,the club's rules had been violating richard.,reversed,violating,The club's rules had been,15.183905601501465,13.71367073059082,14.211187362670898,13.347991943359377,16.51409339904785,10.790821075439451,12.934773445129395
19,the club's rules had been violated only twice.,canonical,violated,The club's rules had been,8.514885902404785,7.540313720703125,7.125472545623779,3.751669406890869,4.981037139892578,8.490461349487305,3.2779178619384766
19,the rebel had been violating the rules.,high-cloze,violating,The rebel had been,14.439322471618652,15.271310806274414,15.696754455566406,8.150479316711426,7.793413162231445,7.205931186676025,8.44199275970459
19,thirty pounds of potatoes had been violating only twice.,low-cloze,violating,Thirty pounds of potatoes had been,21.308666229248047,19.31087303161621,21.028505325317383,23.03445625305176,19.380062103271484,30.242656707763672,27.737916946411133
20,a new medication had been prescribing the physician.,reversed,prescribing,A new medication had been,12.97979736328125,14.469283103942873,13.862957000732422,0.0531467683322262,0.0078671743031009,8.274378776550293,8.111268997192383
20,a new medication had been prescribed by the physician.,canonical,prescribed,A new medication had been,4.536269187927246,5.13682746887207,5.2974066734313965,2.330411672592163,0.8115655183792114,0.5015316605567932,0.47940507531166077
20,the new doctor had been prescribing powerful painkillers for jelena's sore knee.,high-cloze,prescribing,The new doctor had been,11.012722969055176,9.822735786437988,11.687492370605469,0.0078561675036326,0.0027489706990309,0.2471542060375213,0.8246361613273621
20,the portrait of napoleon had been prescribing with caution.,low-cloze,prescribing,The portrait of Napoleon had been,22.501670837402344,23.98097419738769,23.95148086547852,0.8986712631885894,1.8640153633605223,27.966049194335938,26.33119773864746
21,the wheat crops had been harvesting by the local farmers.,reversed,harvesting,The wheat crops had been,9.299138069152832,10.584059715270996,9.979798316955566,9.407282829284668,8.638531684875488,15.717605590820312,12.63634967803955
21,the wheat crops had been harvested after the rain.,canonical,harvested,The wheat crops had been,4.866387844085693,5.505106925964356,3.737690687179565,3.198359966278076,0.8467435240745544,5.8086137771606445,1.9682024717330933
21,the local farmers had been harvesting the corn all week.,high-cloze,harvesting,The local farmers had been,8.616369247436523,8.225140571594238,8.443047523498535,2.357454299926758,1.5275650024414062,1.3770637512207031,1.5632259845733643
21,the elevator button had been harvesting after the rain.,low-cloze,harvesting,The elevator button had been,22.520183563232425,23.48402404785156,24.566953659057617,18.3791618347168,20.33184051513672,22.791820526123047,21.586145401000977
22,the musical piece was composing by beethoven in 1799.,reversed,composing,The musical piece was,16.85849380493164,17.357589721679688,16.895753860473633,14.731406211853027,14.587676048278809,19.11945343017578,17.23366928100586
22,the musical piece was composed in a dream.,canonical,composed,The musical piece was,5.581197261810303,5.321280956268311,5.002583026885986,3.870922088623047,2.7937026023864746,5.5622382164001465,3.7006373405456543
22,ludwig von beethoven was composing symphonies as a teenager.,high-cloze,composing,Ludwig von Beethoven was,11.542364120483398,12.898412704467772,11.808496475219728,1.6029704809188845,1.7536163330078125,4.054542064666748,1.9151217937469482
22,the bank had been composing in a dream.,low-cloze,composing,The bank had been,18.53149604797364,18.88981437683105,19.086151123046875,20.367307662963867,18.701143264770508,26.945533752441406,21.28434181213379
23,the old lady's purse had been snatching a kid.,reversed,snatching,The old lady's purse had been,15.467552661895752,17.13980770111084,14.118204593658447,6.276809307746589,6.695463359355927,5.938957214355469,1.7428364185616374
23,the old lady's purse had been snatched with speed.,canonical,snatched,The old lady's purse had been,6.414341926574707,6.425755977630615,6.563569068908691,9.222064971923828,6.477880477905273,4.397721767425537,3.9197404384613037
23,the clever dog had been snatching cookies from the table.,high-cloze,snatching,The clever dog had been,10.780059337615969,12.329113960266112,13.49425220489502,1.2214676185976714,0.3118155584961641,0.1440499236341565,0.12397059594513848
23,the quality of karla's work was snatching victory from the jaws of defeat.,low-cloze,snatching,The quality of Karla's work was,23.08711576461792,24.193055152893063,24.394518852233887,5.037315372377634,5.111412491649389,0.0230979572515934,0.008910077274776995
24,olson's bulging suitcase had been packing his assistant.,reversed,packing,Olson's bulging suitcase had been,12.5941162109375,10.999448776245115,12.176207542419434,13.315898895263672,13.210240364074709,7.206225872039795,13.207728385925293
24,olson's bulging suitcase had been packed for the trip.,canonical,packed,Olson's bulging suitcase had been,5.72111701965332,4.684972286224365,4.9719085693359375,1.3104499578475952,2.685180187225342,0.6168783903121948,0.4672204554080963
24,the excited vacationers had been packing their suitcases when the hurricane hit.,high-cloze,packing,The excited vacationers had been,9.762956619262695,8.898828506469727,9.406742095947266,0.0527835376560688,0.045574028044939,0.0938997790217399,0.5963972806930542
24,stormy weather had been packing for the trip.,low-cloze,packing,Stormy weather had been,15.472087860107422,13.396496772766112,11.765573501586914,14.393106460571287,17.223770141601562,19.49106788635254,18.4500675201416
25,several spelling errors were noticing the careful editor.,reversed,noticing,Several spelling errors were,18.30842018127441,20.598766326904297,18.308034896850582,15.996374130249023,12.569340705871582,14.314026832580566,15.032879829406738
25,several spelling errors were noticed by the careful editor.,canonical,noticed,Several spelling errors were,7.23810863494873,7.415903091430664,6.297934532165527,4.282223701477051,4.909251689910889,7.662143707275391,4.3406219482421875
25,brittany's close friends were noticing changes in her personality.,high-cloze,noticing,Brittany's close friends were,15.334842681884766,14.379664421081545,12.527426719665527,0.8808456063270569,1.139835000038147,0.5002906322479248,0.13289718329906464
25,the final destination had been noticing too late.,low-cloze,noticing,The final destination had been,16.952062606811523,18.500513076782227,19.64544677734375,20.573246002197266,21.445816040039062,23.762487411499023,17.841171264648438
26,an illegal weapon had been smuggling only once.,reversed,smuggling,An illegal weapon had been,14.366004943847656,15.421951293945312,14.124139785766602,12.94418239593506,13.92048454284668,19.04938697814941,17.51247787475586
26,an illegal weapon had been smuggled only once.,canonical,smuggled,An illegal weapon had been,7.449859142303467,5.508166790008545,4.813944339752197,0.090233102440834,0.0080708017339929,12.55790901184082,10.914101600646973
26,the drug dealer had been smuggling heroin into canada.,high-cloze,smuggling,The drug dealer had been,11.249778747558594,10.315998077392578,10.40194034576416,0.3924643993377685,0.2047666758298874,0.9764652252197266,0.6719265580177307
26,cleopatra's beauty was smuggling only once.,low-cloze,smuggling,Cleopatra's beauty was,21.17776107788086,20.7009220123291,22.946155548095703,21.238357543945312,23.478025436401367,30.25369071960449,26.661537170410156
27,the leftover food was discarding wastefully.,reversed,discarding,The leftover food was,22.08183479309082,16.20624601840973,17.459394693374634,7.399318136274815,3.6016552448272705,4.584628224372864,11.792219877243042
27,the leftover food was discarded wastefully.,canonical,discarded,The leftover food was,8.01237678527832,7.884279251098633,7.559160232543945,5.454300403594971,5.916370868682861,4.356873512268066,2.7985732555389404
27,the campers were discarding the leftover food.,high-cloze,discarding,The campers were,17.213223576545715,18.12190747261048,19.359471201896667,0.7914366597542539,3.205572341394145,2.105018049827777,3.756679041078314
27,the sleek new building was discarding wastefully.,low-cloze,discarding,The sleek new building was,27.54922103881836,26.965359687805176,23.921813488006592,8.454531943425536,7.562711372971535,6.80539608001709,7.098976016044617
28,thirty pounds of potatoes had been peeling by the cooks.,reversed,peeling,Thirty pounds of potatoes had been,12.35139262676239,13.731507897377014,13.12583601474762,17.409929275512695,12.487464904785156,1.820655170828104,4.246579057537019
28,thirty pounds of potatoes had been peeled carefully.,canonical,peeled,Thirty pounds of potatoes had been,6.133853435516357,7.966973781585693,8.316730499267578,10.305362701416016,3.822906017303467,5.430466175079346,4.527194023132324
28,the bored looking cooks had been peeling potatoes for hours.,high-cloze,peeling,The bored looking cooks had been,13.098198354244232,14.680840492248535,12.383883357048036,5.887307167053223,2.0169601440429688,0.0135935086291283,0.0026361500495113432
28,the club's rules had been peeling the sticker off the box.,low-cloze,peeling,The club's rules had been,20.77725410461425,21.10349750518799,22.17481780052185,5.088320732116699,4.012828350067139,0.0222366685047745,0.006295940722338855
29,the grimy pots and pans had been scrubbing the dishwashers.,reversed,scrubbing,The grimy pots and pans had been,16.81654644012451,19.311070442199707,17.548608779907227,0.017988009378314,0.0130679298854374,1.2236579656600952,0.7223326116800308
29,the grimy pots and pans had been scrubbed by the dishwashers.,canonical,scrubbed,The grimy pots and pans had been,10.00964929163456,10.587362250313165,8.526382852345705,7.2642927169799805,8.865996360778809,0.0199720015516504,0.17083793692290783
29,the guys in the kitchen had been scrubbing the pots and pans.,high-cloze,scrubbing,The guys in the kitchen had been,12.370863735675812,12.014471726026386,11.43288134690374,0.0133981364779174,0.0085853738710284,0.0115434757026378,0.003687308053486049
29,the stolen artwork had been scrubbing with vigor.,low-cloze,scrubbing,The stolen artwork had been,24.05308628082276,26.69256591796875,26.518739700317383,4.539832979440689,3.249341130256653,11.37548851966858,14.860269546508789
30,the roast lamb had been carving by a servant.,reversed,carving,The roast lamb had been,15.1444673538208,13.029284477233888,14.188738822937012,20.227569580078125,19.279504776000977,19.08131217956543,21.286823272705078
30,the roast lamb had been carved by a servant.,canonical,carved,The roast lamb had been,11.792583465576172,9.287943840026855,9.52084255218506,10.842859268188477,10.787064552307127,8.457186698913574,8.692553520202637
30,the butcher had been carving the meat.,high-cloze,carving,The butcher had been,13.604339599609377,12.358799934387209,11.707979202270508,9.509428977966309,8.128735542297363,7.762980461120605,12.026749610900879
30,janet's houseplants were carving before dinner.,low-cloze,carving,Janet's houseplants were,16.366561889648438,17.942914962768555,18.76936912536621,22.034393310546875,18.96083641052246,14.022887229919434,20.642061233520508
31,cleopatra's beauty was admiring many people.,reversed,admiring,Cleopatra's beauty was,18.80402660369873,16.734464645385742,17.97337031364441,15.420201301574709,14.107279777526855,2.0867934226989746,2.4309871196746826
31,cleopatra's beauty was admired always.,canonical,admired,Cleopatra's beauty was,10.342370986938477,8.653704643249512,9.89125156402588,8.627373695373535,6.043156147003174,12.030532836914062,9.937394142150879
31,the men were admiring the beautiful woman from a distance.,high-cloze,admiring,The men were,17.6727557182312,16.912508934736252,17.41294002532959,6.5420684814453125,2.0811922550201416,0.0002228895173175,0.000704440928529948
31,an illegal weapon had been admiring always.,low-cloze,admiring,An illegal weapon had been,23.97092580795288,22.32903552055359,25.447157621383667,21.031219482421875,24.616514205932617,6.984028339385986,8.750873565673828
32,a wet snowball had been tossing by the girls through the window.,reversed,tossing,A wet snowball had been,11.309523582458496,11.631640434265137,12.10304069519043,16.264223098754883,12.09812068939209,19.30986595153809,16.734638214111328
32,a wet snowball had been tossed in anger.,canonical,tossed,A wet snowball had been,6.88298225402832,5.335986137390137,4.142283439636231,4.202338218688965,4.1316094398498535,4.3103790283203125,4.1525139808654785
32,the baseball players had been tossing the ball around the infield.,high-cloze,tossing,The baseball players had been,12.914273262023926,12.09364414215088,12.966389656066896,5.072673797607422,3.388600349426269,2.7563865184783936,2.873739242553711
32,their secret conversation had been tossing a steak on the grill.,low-cloze,tossing,Their secret conversation had been,19.877166748046875,19.59657859802246,20.06406021118164,14.066186904907228,16.1395206451416,8.43703842163086,11.019635200500488
33,the sealed envelope was opening the judge.,reversed,opening,The sealed envelope was,14.518197059631348,11.09528636932373,11.832221031188965,18.572723388671875,21.4179744720459,17.432231903076172,13.32270622253418
33,the sealed envelope was opened without permission.,canonical,opened,The sealed envelope was,5.060032367706299,3.676157951354981,3.947989702224731,1.2113618850708008,1.225014567375183,1.0914156436920166,0.23871742188930511
33,tuxedoed waiters were opening bottles of champagne for the toast.,high-cloze,opening,Tuxedoed waiters were,9.890945434570312,12.21112060546875,12.018025398254396,4.838005542755127,7.38237190246582,7.744241237640381,6.747146129608154
33,the men's faces had been opening without permission.,low-cloze,opening,The men's faces had been,17.308818817138672,17.20142364501953,18.97474479675293,20.319068908691406,21.53995513916016,23.09037971496582,28.040529251098633
34,the man's beard had been shaving twice a day.,reversed,shaving,The man's beard had been,12.201533317565918,9.150357246398926,11.435833930969238,0.917454533278942,0.0316062830388546,3.692183971405029,4.001747131347656
34,the man's beard had been shaved twice a day.,canonical,shaved,The man's beard had been,3.2436864376068115,2.7495980262756348,2.715498685836792,1.2802443504333496,1.6705142259597778,0.6252546310424805,1.3896032571792603
34,his uncle ralph had been shaving his beard off.,high-cloze,shaving,His uncle Ralph had been,15.493209838867188,16.154359817504883,18.21650505065918,0.0588001813739538,0.0519497690111165,0.5297505855560303,0.2884025275707245
34,the popular amusement park is shaving twice a day.,low-cloze,shaving,The popular amusement park is,19.768165588378903,20.22241973876953,20.04653549194336,7.938756465911865,10.282399654388428,30.31612968444824,25.909832000732422
35,the elevator button had been pressing slowly.,reversed,pressing,The elevator button had been,10.347026824951172,9.701791763305664,9.165342330932615,5.151258945465088,3.3192458152771,3.352717876434326,5.3656110763549805
35,the elevator button had been pressed by the attendant.,canonical,pressed,The elevator button had been,5.430271148681641,2.659055471420288,2.5589792728424072,1.6400196552276611,0.2949461042881012,1.2362691164016724,0.9896184206008911
35,the attendant had been pressing the buttons.,high-cloze,pressing,The attendant had been,12.11950969696045,12.214466094970703,11.180135726928713,1.4774768352508545,1.1713078022003174,2.122230052947998,1.506138801574707
35,the wheat crops had been pressing slowly.,low-cloze,pressing,The wheat crops had been,13.782750129699709,13.809606552124023,14.728217124938965,14.139073371887209,14.85634994506836,16.629545211791992,15.133928298950195
36,the winning lottery numbers had been announcing the tv news.,reversed,announcing,The winning lottery numbers had been,15.405473709106444,15.641395568847656,16.099294662475586,22.366016387939453,19.155229568481445,15.82917594909668,14.522088050842285
36,the winning lottery numbers had been announced by the tv news.,canonical,announced,The winning lottery numbers had been,5.050104141235352,5.104169845581055,5.052415370941162,2.898627281188965,4.037258148193359,4.361196517944336,1.7863906621932983
36,the flight attendant had been announcing the reason for the delay.,high-cloze,announcing,The flight attendant had been,15.797847747802734,16.557907104492188,15.867568969726562,11.45068359375,12.284722328186035,10.35581874847412,10.821550369262695
36,the tarnished silverware was announcing on the television.,low-cloze,announcing,The tarnished silverware was,18.37352561950684,19.49272727966309,19.00633811950684,18.88678359985352,23.258075714111328,19.584627151489254,18.590272903442383
